0.1193, 0.2052, 0.0004
0.3537, 0.1932, 0.0004
0.5881, 0.1701, 0.0005
0.8224, 0.1403, 0.0005
1.0568, 0.1068, 0.0005
1.2912, 0.0739, 0.0005
1.5256, 0.0451, 0.0006
1.7599, 0.0231, 0.0006
1.9943, 0.0077, 0.0007
2.2287, 0.0001, 0.0007
2.4631, -0.0024, 0.0007
2.6974, 0.0011, 0.0008
2.9318, 0.0059, 0.0008
3.1662, 0.0123, 0.0009
3.4006, 0.0173, 0.0009
3.6349, 0.0214, 0.0010
3.8693, 0.0261, 0.0011
4.1037, 0.0235, 0.0011
4.3381, 0.0235, 0.0012
4.5724, 0.0234, 0.0013
4.8068, 0.0202, 0.0014
5.0412, 0.0135, 0.0015
5.2756, 0.0117, 0.0016
5.5099, 0.0115, 0.0017
5.7443, 0.0069, 0.0018
5.9787, 0.0081, 0.0019
6.2131, 0.0103, 0.0021
6.4474, 0.0025, 0.0023
6.6818, 0.0057, 0.0024
6.9162, 0.0066, 0.0026
7.1506, 0.0109, 0.0028
7.3849, 0.0031, 0.0031
7.6193, 0.0101, 0.0034
7.8537, 0.0116, 0.0036
8.0881, 0.0083, 0.0040
8.3224, 0.0028, 0.0043
8.5568, 0.0064, 0.0047
8.7912, -0.0016, 0.0052
9.0256, 0.0019, 0.0057
9.2599, 0.0028, 0.0062
9.4943, 0.0051, 0.0068
