1.740e+01,4.184e-04
2.312e+01,1.674e-03
2.526e+01,6.276e-03
2.722e+01,5.858e-03
2.947e+01,8.368e-03
3.653e+01,1.004e-02
3.100e+01,8.786e-03
3.308e+01,8.368e-03
3.831e+01,3.598e-02
4.163e+01,1.339e-02
4.407e+01,1.632e-02
5.218e+01,2.259e-02
5.520e+01,2.845e-02
6.254e+01,4.477e-02
6.640e+01,5.314e-02
6.930e+01,6.527e-02
7.320e+01,7.448e-02
7.491e+01,8.535e-02
7.616e+01,9.288e-02
7.957e+01,1.088e-01
8.236e+01,1.284e-01
8.734e+01,1.490e-01
9.370e+01,2.000e-01
1.003e+02,2.410e-01
1.067e+02,3.171e-01
1.127e+02,3.899e-01
1.180e+02,4.393e-01
1.234e+02,5.188e-01
1.291e+02,6.067e-01
1.348e+02,7.029e-01
1.413e+02,8.242e-01
1.466e+02,9.330e-01
1.526e+02,1.067e+00
1.585e+02,1.197e+00
1.641e+02,1.360e+00
1.695e+02,1.460e+00
1.751e+02,1.577e+00
1.798e+02,1.749e+00
1.853e+02,1.900e+00
1.911e+02,2.079e+00
1.960e+02,2.226e+00
2.003e+02,2.347e+00
2.058e+02,2.536e+00
2.108e+02,2.690e+00
2.131e+02,2.761e+00
2.167e+02,2.904e+00
2.268e+02,3.284e+00
2.318e+02,3.397e+00
2.368e+02,3.615e+00
2.419e+02,3.824e+00
2.464e+02,3.954e+00
2.508e+02,4.138e+00
2.571e+02,4.385e+00
2.660e+02,4.778e+00
2.716e+02,5.021e+00
2.775e+02,5.238e+00
2.813e+02,5.418e+00
2.852e+02,5.611e+00
2.908e+02,5.770e+00
2.935e+02,5.887e+00
2.991e+02,6.146e+00
3.006e+02,6.197e+00
